鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南港區,房地(土地+建物)+車位,研究院路二段１２巷５７弄２之１號四樓,24.52,都市：其他:第三種住宅區。,,,1100528,土地2建物1車位1,四層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050301,125.86,2,1,2,有,有,20550000,174370,升降機械,18.33,1800000,,RPROMLRKOHGGFDA97DA,52.94,5.29,5.01,有,
南港區,房地(土地+建物),向陽路１６２巷７９號二樓,32.15,都市：其他:住宅區(供住宅使用)。,,,1100405,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931230,128.04,3,2,2,有,有,29200000,228054,,0.0,0,陽台外推；其他增建；,RPQOMLSKOHGGFDA97DA,81.66,1.74,10.23,有,
北投區,房地(土地+建物),杏林二路２１號,28.0,都市：其他:第三種住宅區。,,,1100516,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721228,132.19,3,2,2,有,無,20300000,153567,,0.0,0,增建一樓空地、防火巷陽台外推；,RPOOMLKLNHGGFEA07DA,87.81,44.38,0.0,無,014
北投區,房地(土地+建物),石牌路一段３９巷７０弄１９號二樓,26.2,都市：其他:第三種住宅區。,,,1100426,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660901,99.36,3,2,2,有,無,17200000,173108,,0.0,0,其他增建；,RPUOMLKLNHGGFEA67DA,80.54,0.0,18.82,無,015
士林區,房地(土地+建物)+車位,重慶北路四段２２８號,23.4,都市：其他:第三之二種住宅區 但是否在第三種住宅區(應依建築線或俟地籍測量分割後，再確定)。,,,1100525,土地1建物1車位2,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740402,136.51,0,0,0,無,有,13800000,101091,坡道平面,0.0,0,本案係持分買賣親友、員工、共有人或其他特殊關係間之交易；,RPVNMLSJOHGGFEA38DA,101.27,17.64,0.0,有,
北投區,房地(土地+建物)+車位,天母西路１１７巷６６號十樓,72.72,都市：其他:第三種住宅區。,,,1100209,土地1建物1車位6,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040514,430.88,0,0,0,無,有,76200000,219511,坡道平面,104.7,4600000,毛胚屋；,RPTOMLTJOHGGFEA38DA,204.2,7.51,18.85,有,
士林區,土地,天母段一小段196-3地號,21.0,都市：其他:第三種住宅區。,,,1100609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16600000,790476,,0.0,0,,RPXNMLQKOHGGFEA48DA,0.0,0.0,0.0,無,016
士林區,房地(土地+建物)+車位,中山北路七段１１４巷６０弄１６號,66.62,都市：其他:第二種住宅區。,,,1100607,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061214,165.54000000000002,3,2,2,有,有,39000000,281233,坡道平面,36.11,2600000,,RPSOMLQKOHGGFEA08DA,75.15,0.0,9.22,有,
北投區,房地(土地+建物),自強街３１巷１３號三樓,30.0,都市：其他:第三種住宅區。,,,1100608,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640901,78.6,2,2,1,有,無,11100000,141221,,0.0,0,,RPVPMLQKOHGGFEA48DA,68.52,0.0,10.08,無,017
士林區,房地(土地+建物),中山北路七段１４巷６５弄５號五樓,26.91,都市：其他:第二種住宅區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100516,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731107,101.23,3,2,2,有,有,13980000,138101,,0.0,0,其他增建；,RPTNMLRKOHGGFEA18DA,80.76,0.0,7.63,無,
