鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
汐止區,車位,汐萬路二段２２８巷３１弄１號２樓,5.22,,山坡地保育區,丙種建築用地,1100610,土地1建物1車位1,一層，二層，地下一層,十五層,其他,停車空間,鋼筋混凝土造,0850627,37.42,0,0,0,有,有,500000,,坡道平面,37.41,500000,僅車位交易；,RPQOMLLKOHGGFDF77DA,0.0,0.0,0.0,有,0442
汐止區,房地(土地+建物),建成路１４２巷３１號,8.96,都市：其他:第二種住宅區,,,1100522,土地1建物1車位0,一層，夾層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0851116,59.839999999999996,0,0,0,無,有,8500000,142045,,0.0,0,陽台外推；夾層；其他增建；,RPSNMLSJOHGGFDF48DA,44.52,0.0,6.53,有,0443
金山區,房地(土地+建物),中山路３１６號,52.38,都市：其他:住宅區,,,1100417,土地3建物2車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0711125,166.24,4,3,2,有,無,8880000,53417,,0.0,0,,RPTOMLLLOHGGFDF18DA,157.18,4.53,4.53,無,
汐止區,房地(土地+建物),民族一街２８號,83.42,都市：其他:第二種住宅區,,,1100424,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0661021,118.56,4,2,2,有,無,19500000,164474,,0.0,0,其他增建:加蓋三樓、四樓鐵皮其他增建；,RPURMLLLOHGGFDF58DA,94.34,12.11,12.11,無,
汐止區,房地(土地+建物)+車位,樟樹二路１６７號六樓,11.62,都市：其他:第二種住宅區,,,1100508,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100108,95.51,2,1,1,有,有,9700000,111772,其他,18.12,1050000,車位形式：倉儲式機械停車位,RPRQMLMLOHGGFDF28DA,35.23,9.44,5.92,有,
汐止區,房地(土地+建物),樟樹二路１６３號七樓,13.54,都市：其他:第二種住宅區,,,1100409,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1100108,80.58,2,1,1,有,有,9400000,116654,,0.0,0,,RPTQMLMLOHGGFDF48DA,40.91,7.84,4.68,有,
汐止區,房地(土地+建物),大同路三段６２１號２３樓之３,3.91,都市：其他:第二種住宅區,,,1100517,土地1建物1車位0,二十三層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,41.47,1,1,1,有,有,2830000,68242,,0.0,0,,RPRRMLLLOHGGFDF28DA,28.81,0.0,2.79,有,
汐止區,房地(土地+建物),大同路一段１８３號１３樓,20.07,都市：其他:乙種工業區,,,1100506,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,0830115,245.07,6,2,0,有,有,14500000,59167,,0.0,0,,RPOPMLNLOHGGFDF97DA,149.61,0.0,28.26,有,0444
汐止區,房地(土地+建物),東勢街２０１巷１３６號,124.71,,山坡地保育區,丙種建築用地,1100511,土地5建物1車位0,全,一層,透天厝,住商用,鋼筋混凝土造,0850216,159.66,4,2,5,有,有,17500000,109608,,0.0,0,一樓/法定空地陽台外推；頂樓加蓋；其他增建；,RPWPMLNLOHGGFDF78DA,141.88,16.29,1.46,無,
汐止區,房地(土地+建物),樟樹二路１６７號八樓,11.56,都市：其他:第二種住宅區,,,1100327,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100108,77.4,2,1,1,有,有,8900000,114987,,0.0,0,預售屋、或土地及建物分次登記案件；,RPOQMLNLOHGGFDF08DA,35.23,9.44,5.92,有,
