鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,大業路一段１４３號十樓,30.12,都市：其他:住宅區,,,1100514,土地1建物1車位2,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911007,292.23,4,2,3,有,有,18300000,62622,坡道平面,0.0,0,,RPTOMLPKOHGGFAH38DA,145.78,4.13,21.74,有,
桃園區,房地(土地+建物)+車位,同德五街２號十樓,17.61,都市：其他:商業區,,,1100319,土地1建物1車位1,十層,二十六層,住宅大樓(11層含以上有電梯),一般事務所,鋼骨鋼筋混凝土造,1090106,210.83999999999997,0,0,0,無,有,23300000,113810,坡道平面,27.2,2400000,,RPQRMLPKOHGGFAH38DA,108.11,0.0,13.27,有,
桃園區,房地(土地+建物)+車位,園二街１６０號二樓,22.03,都市：其他:住宅區,,,1100510,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071005,140.58,2,2,1,有,有,12360000,99800,坡道平面,35.77,1900000,,RPVRMLPKOHGGFAH88DA,60.35,6.58,3.22,有,
桃園區,房地(土地+建物)+車位,泰昌一街５１號七樓,14.76,都市：其他:第二種住宅區,,,1100605,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830629,112.78,3,2,2,有,有,6100000,54088,坡道平面,0.0,0,頂樓加蓋；含租約；,RPRNMLQKOHGGFAH18DA,71.19,10.68,8.53,有,0011
桃園區,房地(土地+建物),鎮撫街８６之９號二樓,24.94,都市：其他:住宅區,,,1100406,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731221,100.22,3,2,1,有,無,4890000,48793,,0.0,0,,RPROMLQKOHGGFAH28DA,84.45,0.0,11.03,無,
桃園區,房地(土地+建物),大有路６５０號七樓之４,3.97,都市：其他:住宅區,,,1100610,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860901,33.54,1,1,1,有,有,1900000,56649,,0.0,0,,RPUOMLQKOHGGFAH58DA,21.14,0.0,5.25,有,0012
桃園區,房地(土地+建物),國強二街２１７號十三樓　　　　　,20.25,都市：其他:道路用地,,,1100516,土地3建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830317,121.75,3,2,1,有,有,5200000,42710,,0.0,0,,RPQNMLRKOHGGFAH18DA,70.0,28.87,8.28,有,0013
桃園區,房地(土地+建物),莊敬路一段３２０號,45.2,都市：其他:住宅區,,,1100508,土地1建物1車位0,一層，騎樓,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0740125,158.73,3,2,3,有,無,28400000,178920,,0.0,0,天井增建其他增建；,RPTPMLRKOHGGFAH68DA,144.61,5.45,0.0,有,
桃園區,房地(土地+建物),樹仁一街６５號三樓,25.54,都市：其他:住宅區,,,1100428,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810630,133.1,3,2,2,有,有,6800000,51089,,0.0,0,,RPXOMLRKOHGGFAH98DA,75.26,1.19,8.39,有,
桃園區,房地(土地+建物)+車位,龍泉二街７１巷１９號,72.01,都市：其他:第二種住宅區,,,1100510,土地1建物1車位1,全,五層,透天厝,住家用,鋼筋混凝土造,0860630,239.73000000000002,5,2,4,有,有,14100000,58816,坡道平面,0.0,0,,RPTOMLSKOHGGFAH68DA,169.97,2.12,16.74,無,
