鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
橋頭區,房地(土地+建物),白樹路合作巷２６號,74.31,都市：其他:商業區,,,1100603,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0670225,105.6,4,2,3,有,無,9200000,87121,,0.0,0,頂樓加蓋；其他增建；,RPSOMLOJOHGGFFE28DA,105.6,0.0,0.0,無,0027
燕巢區,土地,燕西段1098-11地號,4.39,都市：其他:住宅區,,,1100606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,290000,66059,,0.0,0,,RPPNMLPJOHGGFFE97DA,0.0,0.0,0.0,無,
岡山區,房地(土地+建物),阿公店路二段２００號,83.0,都市：其他:住宅區,,,1100526,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690818,99.35,4,2,2,有,無,7380000,74283,,0.0,0,,RPQNMLTJOHGGFFE48DA,99.35,0.0,0.0,無,0028
橋頭區,房地(土地+建物)+車位,橋都路９２號四樓之５,17.39,都市：其他:第六種住宅區,,,1061108,土地1建物1車位1,四層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,154.16000000000003,3,2,2,有,有,7330000,48313,坡道平面,27.9,1230000,預售屋、或土地及建物分次登記案件；,RPROMLNJOHGGFFE08DA,65.27,15.35,0.0,有,
橋頭區,房地(土地+建物)+車位,新南二街１號九樓之１,16.56,都市：其他:第六種住宅區,,,1061117,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,145.6,3,2,2,有,有,6880000,47154,坡道平面,27.9,1330000,預售屋、或土地及建物分次登記案件；,RPVOMLNJOHGGFFE48DA,61.53,14.54,0.0,有,
橋頭區,房地(土地+建物)+車位,新南二街１號十樓之６,16.87,都市：其他:第六種住宅區,,,1070105,土地1建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,149.6,3,2,2,有,有,7160000,48316,坡道平面,27.9,1280000,預售屋、或土地及建物分次登記案件；,RPXOMLNJOHGGFFE68DA,63.26,15.54,0.0,有,
橋頭區,房地(土地+建物)+車位,新南二街１號十六樓之６,16.87,都市：其他:第六種住宅區,,,1070902,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,149.6,3,2,2,有,有,7520000,50452,坡道平面,27.9,1380000,預售屋、或土地及建物分次登記案件；,RPPPMLNJOHGGFFE97DA,63.26,15.54,0.0,有,
橋頭區,房地(土地+建物)+車位,新南二街１號十九樓之６,16.87,都市：其他:第六種住宅區,,,1080307,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,149.6,3,2,2,有,有,7900000,53574,坡道平面,27.9,1380000,預售屋、或土地及建物分次登記案件；,RPRPMLNJOHGGFFE18DA,63.26,15.54,0.0,有,
岡山區,房地(土地+建物),光潭路１２１號,77.0,,一般農業區,甲種建築用地,1100426,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850126,219.2,5,3,3,有,無,8000000,36496,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKKOHGGFFE87DA,190.34,28.86,0.0,無,
梓官區,土地,新興段502地號,3345.33,,一般農業區,農牧用地,1100602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16200000,4843,,0.0,0,,RPWPMLQKOHGGFFE09DA,0.0,0.0,0.0,無,
